Index,Name,Z_Classification,Subgroup_2,Subgroup_3,Subgroup_4,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,total amount
 ZB5K762-9, BODE safety gloves nylon/spandex nitrile coated microfoam gray/black 9, N, HAND PROTECTION, GLOVES, COATED NITRILE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,325,199,538
 ZB5K803-M, KALMIT protective sweatshirt light gray M (50), C, BODY PROTECTION, PROTECTIVE CLOTHING, PROTECTIVE SWEATSHIRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,37,77,81,48,49,6,1,7,5,26,12,19,4,11,14,11,0,37,27,7,8,11,5,4,5,2,538
 ZB5K731-11, LEINE Canadian protective gloves (cowhide) blue 11, N, HAND PROTECTION, GLOVES, LEATHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,201,63,532
 ZB5K568-44, EFZE safety shoes S5 SRA black 44, B, LEG PROTECTION, SAFE SHOES, SHOES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,2,6,21,22,27,16,9,1,26,46,26,4,15,1,2,9,19,36,46,5,14,22,33,71,4,1,39,14,1,546
 ZB5K730-11, STOR mechanical protective gloves black/blue 11, N, HAND PROTECTION, GLOVES, LEATHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,137,29,531
 ZB5K360-M, RUWER protective overalls dark green M (50), D, BODY PROTECTION, PROTECTIVE CLOTHING, PROTECTIVE Dungarees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33,19,6,20,15,5,2,1,0,1,2,5,6,32,6,20,66,2,7,4,0,4,15,5,15,41,0,0,8,6,11,11,37,9,1,12,14,30,18,42,5,538
 ZB5K565-41, BERKEL safety shoes S1P SRC black/yellow 41, A, LEG PROTECTION, SAFE SHOES, SHOES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,7,6,8,22,30,4,1,6,5,20,29,35,16,7,30,26,18,8,6,7,14,6,28,35,33,15,12,11,11,18,5,6,8,8,5,530
 ZB5K521-43, HOSEL SB SRA safety shoes navy blue/blue 43, B, LEG PROTECTION, SAFE SHOES, SHOES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,7,13,16,7,42,18,18,19,13,8,49,11,13,29,14,29,27,12,8,14,12,25,39,26,14,16,8,6,529
 ZB5K571-45,BERKEL safety shoes S1P SRC black/orange 45, A, LEG PROTECTION, SAFE SHOES, SHOES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,19,4,1,5,1,18,18,67,13,4,22,11,5,11,7,4,2,12,22,47,42,15,26,9,29,30,15,20,8,6,5,527
 ZB5K565-45, BERKEL safety shoes S1P SRC black/yellow 45, A, LEG PROTECTION, SAFE SHOES, SHOES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,9,1,8,19,25,7,6,2,8,30,21,55,29,11,14,28,1,11,5,7,8,6,23,37,25,16,20,8,22,12,1,2,6,9,6,529
